t,periodic_func
322,9.424777960774088
323,9.424777960775105
324,9.42477796077612
325,9.424777960777137
326,9.424777960778153
327,9.424777960779169
328,9.424777960769472
329,9.424777960781201
330,9.424777960771504
331,9.424777960783233
332,9.424777960773536
333,9.424777960763835
334,9.424777960775568
335,9.424777960765867
336,9.4247779607776
337,9.4247779607679
338,9.42477796077963
339,9.424777960769932
340,9.424777960781663
341,9.424777960771964
342,9.424777960783695
343,9.424777960773996
344,9.424777960764299
345,9.424777960776028
346,9.424777960766331
347,9.42477796077806
348,9.424777960768361
349,9.424777960780093
350,9.424777960770394
351,9.424777960782125
352,9.424777960772426
353,9.424777960784157
354,9.424777960774458
355,9.424777960764759
356,9.42477796077649
357,9.424777960766791
358,9.424777960778522
359,9.424777960768823
360,9.424777960780554
361,9.424777960770857
362,9.424777960782587
363,9.42477796077289
364,9.424777960763189
365,9.424777960774922
366,9.424777960765221
367,9.424777960776954
368,9.424777960767253
369,9.424777960778984
370,9.424777960769285
371,9.424777960781016
372,9.424777960771317
373,9.424777960783048
374,9.42477796077335
375,9.42477796076365
376,9.424777960775382
377,9.424777960765683
378,9.424777960777414
379,9.424777960767715
380,9.424777960779446
381,9.424777960769747
382,9.424777960781478
383,9.42477796077178
384,9.42477796078351
385,9.424777960773811
386,9.424777960764112
387,9.424777960775844
388,9.424777960766145
389,9.424777960777876
390,9.424777960768177
391,9.424777960779908
392,9.424777960770209
393,9.42477796078194
394,9.424777960772243
395,9.424777960783972
396,9.424777960774275
397,9.424777960764574
398,9.424777960776307
399,9.424777960766606
400,9.424777960778338
401,9.424777960768639
402,9.42477796078037
403,9.42477796077067
404,9.424777960782402
405,9.424777960772703
406,9.424777960784434
407,9.424777960774735
408,9.424777960765036
409,9.424777960776767
410,9.424777960767068
411,9.4247779607788
412,9.4247779607691
413,9.424777960780832
414,9.424777960771133
415,9.424777960782862
416,9.424777960773165
417,9.424777960763466
418,9.424777960775197
419,9.424777960765498
420,9.424777960777229
421,9.42477796076753
422,9.424777960779261
423,9.42477796076956
424,9.424777960781293
425,9.424777960771593
426,9.424777960783326
427,9.424777960773628
428,9.424777960763928
429,9.424777960775659
430,9.42477796076596
431,9.424777960777691
432,9.424777960767992
433,9.424777960779723
434,9.424777960770024
435,9.424777960781755
436,9.424777960772056
437,9.424777960783787
438,9.424777960774088
439,9.42477796076439
440,9.42477796077612
441,9.424777960766422
442,9.424777960778153
443,9.424777960768454
444,9.424777960780185
445,9.424777960770486
446,9.424777960782215
447,9.424777960772518
448,9.424777960784247
449,9.42477796077455
450,9.424777960764851
451,9.424777960776582
452,9.424777960766884
453,9.424777960778615
454,9.424777960768916
455,9.424777960780647
456,9.424777960770946
457,9.424777960782679
458,9.424777960772982
459,9.424777960784711
460,9.424777960775012
461,9.424777960765313
462,9.424777960777044
463,9.424777960767345
464,9.424777960779076
465,9.424777960769378
466,9.424777960781109
467,9.42477796077141
468,9.42477796078314
469,9.424777960773442
470,9.424777960785173
471,9.424777960775474
472,9.424777960765775
473,9.424777960777506
474,9.424777960767807
475,9.424777960779537
476,9.42477796076984
477,9.424777960781569
478,9.424777960771872
479,9.4247779607836
480,9.424777960773904
481,9.424777960785633
482,9.424777960775936
483,9.424777960766237
484,9.424777960777968
485,9.42477796076827
486,9.42477796078
487,9.4247779607703
488,9.424777960782032
489,9.424777960772332
490,9.424777960784064
491,9.424777960774366
492,9.424777960764667
493,9.424777960776398
494,9.424777960766699
495,9.42477796077843
496,9.424777960768731
497,9.424777960780462
498,9.424777960770763
499,9.424777960782494
500,9.424777960772795
501,9.424777960784526
502,9.424777960774827
503,9.424777960765129
504,9.42477796077686
505,9.42477796076716
506,9.42477796077889
507,9.424777960769193
508,9.424777960780922
509,9.424777960771225
510,9.424777960782954
511,9.424777960773257
512,9.424777960784986
513,9.42477796077529
514,9.42477796076559
515,9.424777960777321
516,9.424777960767623
517,9.424777960779354
518,9.424777960769653
519,9.424777960781386
520,9.424777960771685
521,9.424777960783418
522,9.424777960773717
523,9.42477796078545
524,9.424777960775751
525,9.424777960766052
526,9.424777960777783
527,9.424777960768084
528,9.424777960779815
529,9.424777960770117
530,9.424777960781848
531,9.424777960772149
532,9.42477796078388
533,9.42477796077418
534,9.424777960785912
535,9.424777960776211
536,9.424777960766514
537,9.424777960778243
538,9.424777960768546
539,9.424777960780276
540,9.424777960770578
541,9.424777960782308
542,9.42477796077261
543,9.42477796078434
544,9.424777960774643
545,9.424777960764944
546,9.424777960776675
547,9.424777960766976
548,9.424777960778707
549,9.424777960769008
550,9.42477796078074
551,9.424777960771038
552,9.424777960782771
553,9.42477796077307
554,9.424777960784803
555,9.424777960775103
556,9.424777960765406
557,9.424777960777137
558,9.424777960767438
559,9.424777960779169
560,9.42477796076947
561,9.424777960781201
562,9.424777960771502
563,9.424777960783233
564,9.424777960773534
565,9.424777960785265
566,9.424777960775565
567,9.424777960765867
568,9.424777960777597
569,9.424777960767898
570,9.424777960779629
571,9.424777960769932
572,9.424777960781661
573,9.424777960771964
574,9.424777960783693
575,9.424777960773996
576,9.424777960785725
577,9.424777960776028
578,9.42477796076633
579,9.42477796077806
580,9.424777960768361
581,9.424777960780093
582,9.424777960770392
583,9.424777960782125
584,9.424777960772424
585,9.424777960784157
586,9.424777960774456
587,9.424777960786187
588,9.424777960776488
589,9.424777960766791
590,9.424777960778522
591,9.424777960768823
592,9.424777960780554
593,9.424777960770856
594,9.424777960782587
595,9.424777960772886
596,9.424777960784619
597,9.424777960774918
598,9.42477796078665
599,9.42477796077695
600,9.424777960767251
601,9.424777960778982
602,9.424777960769283
603,9.424777960781014
604,9.424777960771317
605,9.424777960783047
606,9.42477796077335
607,9.424777960785079
608,9.424777960775382
609,9.424777960787111
610,9.424777960777414
611,9.424777960767715
612,9.424777960779446
613,9.424777960769745
614,9.424777960781478
615,9.424777960771777
616,9.42477796078351
617,9.42477796077381
618,9.42477796078554
619,9.424777960775842
620,9.424777960766145
621,9.424777960777874
622,9.424777960768177
623,9.424777960779908
624,9.424777960770209
625,9.42477796078194
626,9.42477796077224
627,9.424777960783972
628,9.424777960774271
629,9.424777960786004
630,9.424777960776304
631,9.424777960766605
632,9.424777960778336
633,9.424777960768637
634,9.424777960780368
635,9.42477796077067
636,9.4247779607824
637,9.424777960772703
638,9.424777960784432
639,9.424777960774735
640,9.424777960786464
641,9.424777960776767
642,9.424777960767068
643,9.4247779607788
644,9.4247779607691
645,9.424777960780832
646,9.42477796077113
647,9.424777960782862
648,9.424777960773163
649,9.424777960784894
650,9.424777960775195
651,9.424777960786926
652,9.424777960777227
653,9.424777960788958
654,9.424777960757831
655,9.42477796076956
656,9.424777960781293
657,9.424777960793023
658,9.424777960761896
659,9.424777960773625
660,9.424777960785358
661,9.424777960797087
662,9.424777960765958
663,9.42477796077769
664,9.424777960789422
665,9.424777960758291
666,9.424777960770024
667,9.424777960781753
668,9.424777960793486
669,9.424777960762356
670,9.424777960774088
671,9.424777960785818
672,9.424777960797549
673,9.424777960766422
674,9.424777960778153
675,9.424777960789882
676,9.424777960758755
677,9.424777960770484
678,9.424777960782215
679,9.424777960793946
680,9.42477796076282
681,9.424777960774549
682,9.42477796078628
683,9.42477796079801
684,9.424777960766884
685,9.424777960778613
686,9.424777960790344
687,9.424777960759217
688,9.424777960770946
689,9.424777960782679
690,9.424777960794408
691,9.42477796076328
692,9.42477796077501
693,9.424777960786743
694,9.424777960798473
695,9.424777960767344
696,9.424777960779075
697,9.424777960790808
698,9.424777960759677
699,9.42477796077141
700,9.424777960783139
701,9.42477796079487
702,9.424777960763741
703,9.424777960775474
704,9.424777960787203
705,9.424777960798934
706,9.424777960767807
707,9.424777960779537
708,9.424777960791268
709,9.42477796076014
710,9.42477796077187
711,9.4247779607836
